"idgame","name","year","minplayers","maxplayers","averagerating","averagecomplexity","playtime","domainscolumn.iddomain","domainscolumn.name","mechanicscolumn.idmechanic","mechanicscolumn.name"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,2,"Thematic Games",,
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,10,"Hand Management"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,19,"Variable Player Powers"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,39,"Area Majority / Influence"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,40,"Area-Impulse"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,41,"Dice Rolling"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,52,"Area Movement"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,53,"Delayed Purchase"
187645,"Star Wars: Rebellion",2016,2,4,8.42,3.71,240,,,54,"Team-Based Game"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,1,"Strategy Games",,
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,11,"Hexagon Grid"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,13,"Modular Board"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,17,"Solo / Solitaire game"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,19,"Variable Player Powers"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,24,"Income"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,27,"Network and Route Building"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,29,"Tech Trees / Tech Tracks"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,31,"Variable Set-up"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,34,"End Game Bonuses"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,50,"Turn Order: Pass Order"
220308,"Gaia Project",2017,1,4,8.49,4.35,150,,,51,"Victory Points as a Resource"
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,1,"Strategy Games",,
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,,,20,"Action Points"
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,,,24,"Income"
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,,,32,"Card Drafting"
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,,,35,"Take That"
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,,,47,"Auction/Bidding"
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,,,48,"Auction: Dutch"
182028,"Through the Ages: A New Story of Civilization",2015,2,4,8.43,4.41,120,,,49,"Events"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,1,"Strategy Games",,
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,10,"Hand Management"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,24,"Income"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,25,"Loans"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,26,"Market"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,27,"Network and Route Building"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,28,"Score-and-Reset Game"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,29,"Tech Trees / Tech Tracks"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,30,"Turn Order: Stat Based"
224517,"Brass: Birmingham",2018,2,4,8.66,3.91,120,,,31,"Variable Set-up"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,1,"Strategy Games",,
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,2,"Thematic Games",,
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,1,"Action Queue"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,3,"Campaign / Battle Card Driven"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,5,"Comunication Limits"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,6,"Cooperative Game"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,7,"Critical Hits and Failures"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,9,"Grid Movement"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,10,"Hand Management"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,11,"Hexagon Grid"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,12,"Legacy Game"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,14,"One-Per-Game Abilities"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,15,"Scenario / Mission / Campaign Game"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,16,"Simultaneous Action Selection"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,17,"Solo / Solitaire game"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,19,"Variable Player Powers"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,45,"Critical Hits and Failures"
291457,"Gloomhaven: Jaws of the Lion",2020,1,4,8.87,3.55,120,,,46,"Line of Sight"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,1,"Strategy Games",,
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,3,"Wargames",,
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,3,"Campaign / Battle Card Driven"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,10,"Hand Management"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,16,"Simultaneous Action Selection"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,39,"Area Majority / Influence"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,41,"Dice Rolling"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,55,"Action/Event"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,56,"Advantage Token"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,57,"Simulation"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,58,"Sudden Death Ending"
12333,"Twilight Struggle",2005,2,2,8.29,3.59,180,,,59,"Tug of War"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,1,"Strategy Games",,
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,2,"Thematic Games",,
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,1,"Action Queue"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,2,"Action Retrieval"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,3,"Campaign / Battle Card Driven"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,4,"Card Play Conflict Resolution"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,5,"Comunication Limits"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,6,"Cooperative Game"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,7,"Deck Construction"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,8,"Deck Bag and Pool Building"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,9,"Grid Movement"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,10,"Hand Management"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,11,"Hexagon Grid"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,12,"Legacy Game"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,13,"Modular Board"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,14,"One-Per-Game Abilities"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,15,"Scenario / Mission / Campaign Game"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,16,"Simultaneous Action Selection"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,17,"Solo / Solitaire game"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,18,"Storytelling"
174430,"Gloomhaven",2017,1,4,8.79,3.86,120,,,19,"Variable Player Powers"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,1,"Strategy Games",,
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,2,"Thematic Games",,
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,9,"Grid Movement"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,11,"Hexagon Grid"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,13,"Modular Board"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,19,"Variable Player Powers"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,23,"Trading"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,38,"Action Drafting"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,39,"Area Majority / Influence"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,40,"Area-Impulse"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,41,"Dice Rolling"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,42,"Follow"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,43,"Variable Player Powers"
233078,"Twilight Imperium: Fourth Edition",2017,3,6,8.7,4.22,480,,,44,"Voting"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,1,"Strategy Games",,
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,10,"Hand Management"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,11,"Hexagon Grid"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,17,"Solo / Solitaire game"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,19,"Variable Player Powers"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,22,"Set Collection"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,24,"Income"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,32,"Card Drafting"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,33,"Drafting"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,34,"End Game Bonuses"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,35,"Take That"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,36,"Tile Placement"
167791,"Terraforming Mars",2016,1,5,8.43,3.24,120,,,37,"Turn Order: Progressive"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,1,"Strategy Games",,
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,2,"Thematic Games",,
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,6,"Cooperative Game"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,10,"Hand Management"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,12,"Legacy Game"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,19,"Variable Player Powers"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,20,"Action Points"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,21,"Point to Point Movement"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,22,"Set Collection"
161936,"Pandemic Legacy: Season 1",2015,2,4,8.61,2.84,60,,,23,"Trading"